turn_id,stratum_auto,auto_rule_pred,turn_class,session_id,msg_index,user_turn_number,dialogue_turn,transcript,emotion_visual,sentiment,t_start_sec,t_end_sec,clip_start_sec,clip_end_sec,video_path,chat_path,wav_path
01_00_00_04_07_00_00__u0002,conflict,1,conflict,01_00_00_04_07_00_00,3,2,,"Uh, you mean, uh, you want me share the travel, uh, the city I traveled, uh, like before?",disgust,positive,57.851,75.4,56.851,76.4,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_无音轨mp4/01_00_00_04_07_00_00/whole_video.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_无音轨mp4/01_00_00_04_07_00_00/chat_history_asr_aligned_large_v3.json,
102__u0020,neutral,0,neutral,102,39,20,20,"my tough time, I just talk to my friends to try to find some way to escape from what makes me suffer.",neutral,negative,485.3282,493.2359,484.3282,494.2359,/home/zhijinmeng/Research/HF_Data/percy_data/102/whole_video.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/102/chat_history.json,
00_00_00_05_07_00_00__u0027,conflict,1,conflict,00_00_00_05_07_00_00,52,27,,"Yes, I have played the game for a long time. I meet my friends through playing the game sometimes. They all like, they and me all like play playing the game. So I think our friendship is initially based on the game, but now it was just our relationship in my life.",disgust,positive,1045.791,1068.42,1044.791,1069.42,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_含音轨mp4/00_00_00_05_07_00_00/20240904143449.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_含音轨mp4/00_00_00_05_07_00_00/chat_history_asr_aligned_large_v3.json,
01_00_00_04_03_00_00__u0022,neutral,0,neutral,01_00_00_04_03_00_00,43,22,,"Um, I don't have the specific name of that.",disgust,neutral,879.553,884.64,878.553,885.64,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_无音轨mp4/01_00_00_04_03_00_00/whole_video.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_无音轨mp4/01_00_00_04_03_00_00/chat_history_asr_aligned_large_v3.json,
00_02_05_05_07_00_03__u0027,neutral,0,neutral,00_02_05_05_07_00_03,53,27,,"We try to have different kind of, we try to keep different kind of perspective about internet and the main inclusion, but we try to save our children from unprepared data acquisition.",neutral,positive,956.504,973.745,955.504,974.745,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_无音轨mp4/00_02_05_05_07_00_03/whole_video.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_无音轨mp4/00_02_05_05_07_00_03/chat_history_asr_aligned_large_v3.json,
103__u0030,consistent,0,consistent,103,59,30,30,"Yeah, sure, it's really a big challenge for you when you have no patience to doing that.",happy,positive,999.8983,1006.391,998.8983,1007.391,/home/zhijinmeng/Research/HF_Data/percy_data/103/whole_video.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/103/chat_history.json,
101__u0002,neutral,0,neutral,101,3,2,2,"Well, having pork rib could be one of the best way for myself to have a relax.",neutral,positive,57.1277,63.5286,56.1277,64.5286,/home/zhijinmeng/Research/HF_Data/percy_data/101/whole_video.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/101/chat_history.json,
00_00_02_04_07_00_00__u0005,conflict,1,conflict,00_00_02_04_07_00_00,8,5,,"Um, just reflecting on conversations I've had and why I said things, and how I felt when I said things, what I was trying to prove, I was trying to prove something, trying to cover something up, and being honest with myself.",disgust,positive,1015.873,1030.707,1014.873,1031.707,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_含音轨mp4/00_00_02_04_07_00_00/20240906124924.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_含音轨mp4/00_00_02_04_07_00_00/chat_history_asr_aligned_large_v3.json,
00_01_00_04_03_00_00__u0023,neutral,0,neutral,00_01_00_04_03_00_00,45,23,,and I don't think this...,disgust,neutral,1136.88,1138.906,1135.88,1139.906,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_无音轨mp4/00_01_00_04_03_00_00/whole_video.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/fixed_data/Ari Robot/_已处理/_无音轨mp4/00_01_00_04_03_00_00/chat_history_asr_aligned_large_v3.json,
100__u0004,consistent,0,consistent,100,7,4,2,"Not really often as before because right now I have to do some work and study it, but I'm playing like every 2-3 months once, but I'm still a big fan so I'm watching a lot of football for my favorite teams, Al Hilal from Saudi Arabia or Barcelona from Spain.",happy,positive,73.0357,92.8296,72.0357,93.8296,/home/zhijinmeng/Research/HF_Data/percy_data/100/whole_video.mp4,/home/zhijinmeng/Research/HF_Data/percy_data/100/chat_history.json,
