session_id,turn_index,emotion,sentiment,sentiment_score,sentiment_confidence,emotion_visual_confidence,content
00_00_00_02_07_00_00,0,happy,negative,-0.0772,0.0772,,"Uh, sorry, what cuisine are you referring to?"
00_00_00_02_07_00_00,12,happy,negative,-0.5563,0.5563,,I'm now very stressful and trying to make the decision whether I should study a Ph.D. or not.
00_00_00_02_07_00_00,34,happy,negative,-0.0772,0.0772,,"Sorry, ask the question again."
00_00_00_02_07_00_00,46,happy,negative,-0.296,0.296,,"No, just ask me the next question."
00_00_00_02_07_00_00,50,happy,negative,-0.296,0.296,,Maybe it's a random. I have no clue
00_00_00_04_07_00_01,3,disgust,positive,0.8126,0.8126,,hmm well it would be the I guess I don't aesthetics or the looks of sort of mecha or those exoskeletons those sort of hu
00_00_00_04_07_00_01,9,disgust,positive,0.7956,0.7956,,mmm well there's a quite a interesting music i found called let her go and then i guess Aerosmith is another sort of ban
00_00_00_04_07_00_01,15,disgust,positive,0.4364,0.4364,,"Well, I guess the old Call of Duty Modern Warfare stories were quite, you know, memorable. I found them to be quite an i"
00_00_00_04_07_00_01,31,disgust,positive,0.5407,0.5407,,"Uh, I guess maybe over the hard days I plan to go back to China, but I wouldn't call that traveling It's more like going"
00_00_00_04_07_00_02,12,sad,positive,0.6597,0.6597,,"Yes, it can help me a lot."
00_00_00_04_07_00_02,14,sad,positive,0.0772,0.0772,,"No, for this moment, I cannot think of any asset."
00_00_00_04_07_00_02,20,sad,positive,0.6124,0.6124,,"Like I said, I like watching action movies."
00_00_00_04_07_00_02,26,fear,positive,0.7269,0.7269,,"I enjoy watching action movies because it can relax me. Also, the fantasy."
00_00_00_04_07_00_02,50,sad,positive,0.8591,0.8591,,"Yeah, I think the best memory in the university is that I made a lot of friends."
00_00_00_04_08_00_00,5,disgust,positive,0.1845,0.1845,0.6,"It's about a kid who is an orphan, and he basically wanted to become the leader of the nation. And he actually did it. P"
00_00_00_04_08_00_00,11,disgust,positive,0.8338,0.8338,0.6,the stories of the characters in that film. I mean they were they were actually like family oriented you know one of the
00_00_00_04_08_00_00,15,disgust,positive,0.8955,0.8955,0.6,"Ghana, right, like, he can basically tell his, like, you know, like, he can basically rap well. He can tell the stories "
00_00_00_04_08_00_00,19,disgust,positive,0.7976,0.7976,0.6,is chess you know it's a it's a fun game it's about making the right decision you know you have to think through all the
00_00_00_04_08_00_00,25,disgust,positive,0.9186,0.9186,0.6,"My favorite dish for Italian is pizza and my favorite for American is burgers. I mean those are like typical, average ch"
00_00_00_04_08_00_00,37,disgust,positive,0.9001,0.9001,0.6,responsibilities you know my responsibility as a son to do my school work well. Responsibility as a son to you know make
00_00_00_05_03_00_00,33,happy,negative,-0.128,0.128,,"Oh yeah, the biggest problem I have is to complete my academic research project."
